id,author,title,series,series_index,cover_path,is_read,language
1107,Andrew Rowe,Sufficiently Advanced Magic (Arcane Ascension Book 1),Arcane Ascension,1.0,C:\Users\debon\Calibre Bibliotheek\Andrew Rowe/Sufficiently Advanced Magic (Arcane (1107)\cover.jpg,0,eng
481,Andrzej Sapkowski,Baptism of Fire,The Witcher,5.0,C:\Users\debon\Calibre Bibliotheek\Andrzej Sapkowski/Baptism of Fire (481)\cover.jpg,0,eng
480,Andrzej Sapkowski,Blood of Elves,The Witcher,3.0,C:\Users\debon\Calibre Bibliotheek\Andrzej Sapkowski/Blood of Elves (480)\cover.jpg,0,eng
450,Andrzej Sapkowski,Season of Storms,The Witcher,1.5,C:\Users\debon\Calibre Bibliotheek\Andrzej Sapkowski/Season of Storms (450)\cover.jpg,0,eng
448,Andrzej Sapkowski,Sword of Destiny,The Witcher,2.0,C:\Users\debon\Calibre Bibliotheek\Andrzej Sapkowski/Sword of Destiny (448)\cover.jpg,0,eng
441,Andrzej Sapkowski,The Lady of the Lake,The Witcher,7.0,C:\Users\debon\Calibre Bibliotheek\Andrzej Sapkowski/The Lady of the Lake (441)\cover.jpg,0,eng
440,Andrzej Sapkowski,The Last Wish,The Witcher,1.0,C:\Users\debon\Calibre Bibliotheek\Andrzej Sapkowski/The Last Wish (440)\cover.jpg,0,eng
439,Andrzej Sapkowski,The Time of Contempt,The Witcher,4.0,C:\Users\debon\Calibre Bibliotheek\Andrzej Sapkowski/The Time of Contempt (439)\cover.jpg,0,eng
437,Andrzej Sapkowski,The Tower of Swallows,The Witcher,6.0,C:\Users\debon\Calibre Bibliotheek\Andrzej Sapkowski/The Tower of Swallows (437)\cover.jpg,0,eng
109,Andy Weir,Project Hail Mary,,1.0,C:\Users\debon\Calibre Bibliotheek\Andy Weir/Project Hail Mary (109)\cover.jpg,1,eng
707,Andy Weir,Project Hail Mary (NL versie),,1.0,C:\Users\debon\Calibre Bibliotheek\Andy Weir/Project Hail Mary (NL versie) (707)\cover.jpg,1,nld
285,Angela Carter,The Bloody Chamber and Other Stories,,1.0,C:\Users\debon\Calibre Bibliotheek\Angela Carter/The Bloody Chamber and Other Storie (285)\cover.jpg,0,eng
1153,Angeline Boulley,Firekeeper's Daughter,,1.0,C:\Users\debon\Calibre Bibliotheek\Angeline Boulley/Firekeeper's Daughter (1153)\cover.jpg,0,eng
1355,Angie Thomas,Concrete Rose,,1.0,C:\Users\debon\Calibre Bibliotheek\Angie Thomas/Concrete Rose (1355)\cover.jpg,0,eng
1353,Angie Thomas,The Hate U Give,,1.0,C:\Users\debon\Calibre Bibliotheek\Angie Thomas/The Hate U Give (1353)\cover.jpg,0,eng
